age,workclass,fnlwgt,education.num,marital.status,race,sex,hours.per.week,native.country,income
17,0,51939,7,0,0,0,15,1,1
54,0,171924,9,1,0,1,70,1,1
76,0,116202,9,0,0,0,33,1,1
47,-1,192755,9,1,0,0,20,1,0
30,0,139012,11,0,2,1,40,0,1
30,0,87561,12,0,0,0,40,1,1
28,0,191935,12,0,0,1,20,1,1
21,0,321666,9,0,0,1,40,1,1
37,0,281751,10,0,0,0,30,1,1
55,0,196126,13,0,0,1,40,0,1
45,1,271962,13,0,0,0,40,1,1
33,0,292465,5,1,0,1,50,1,1
67,-1,107138,10,1,0,1,40,1,1
21,0,129172,10,0,0,1,16,1,1
23,0,118693,11,0,0,1,40,1,1
27,-1,399904,9,0,0,1,50,0,1
28,0,163265,5,1,0,1,40,1,1
40,-1,253370,9,1,0,0,35,1,0
65,0,469602,13,1,0,1,15,1,1
52,0,186272,9,0,0,1,40,1,1
34,0,112115,15,1,0,1,55,1,0
34,0,73199,7,0,2,1,40,0,1
47,0,144351,9,0,0,1,40,1,1
31,0,334744,9,0,0,1,40,1,1
17,0,206010,8,0,0,0,8,1,1
53,1,195922,14,0,0,0,40,1,1
39,1,32312,13,0,0,0,60,1,1
43,0,239161,10,1,3,1,40,1,1
36,0,263130,14,0,0,0,40,1,1
45,1,33798,14,0,0,0,40,1,1
52,0,190909,9,1,0,1,40,1,0
34,-1,123429,9,1,0,1,60,1,1
76,0,239880,9,0,0,0,8,1,1
44,0,95255,10,0,0,0,40,1,1
49,-1,113913,9,1,0,0,60,1,1
61,0,106330,9,1,0,1,40,1,1
31,0,123273,9,0,1,0,40,1,1
26,0,68991,9,0,1,1,40,1,1
34,0,183778,9,0,0,1,40,1,1
25,-1,219987,12,1,0,1,13,1,1
48,0,209182,1,0,0,0,40,0,1
38,0,298841,9,0,0,0,40,1,1
44,-1,320984,10,1,0,1,60,1,0
63,0,113756,9,0,0,0,40,1,1
18,-1,163085,9,0,0,1,20,1,1
54,0,175262,4,1,0,1,40,1,1
31,1,78291,13,0,0,0,40,1,1
20,0,173736,5,0,0,1,40,1,1
21,0,152246,10,0,2,1,40,0,1
51,0,152596,9,1,0,1,40,1,1
25,0,169124,13,0,0,1,40,1,1
42,-1,39539,9,1,0,1,99,1,0
57,0,71367,9,0,0,0,40,1,1
40,0,187802,10,1,0,1,40,1,0
25,0,50103,9,0,0,0,40,1,1
33,0,284531,13,0,0,0,40,1,1
18,0,74539,6,0,0,1,20,1,1
45,0,88781,13,1,0,1,40,0,0
36,0,357619,13,1,0,0,60,0,1
41,0,392167,6,0,0,1,48,1,1
58,0,316849,10,0,0,1,40,1,1
25,0,233777,9,0,0,1,40,0,1
35,0,193815,12,1,0,1,40,1,0
19,1,27382,10,0,0,1,40,1,1
44,0,378251,9,1,0,0,38,1,1
55,-1,193895,4,0,0,0,40,1,1
29,0,368949,10,1,0,1,40,0,0
47,-1,77102,14,0,0,1,40,1,1
24,0,60783,10,1,0,1,70,1,0
39,0,187089,10,0,0,0,40,1,1
39,0,187847,9,0,0,1,50,1,1
35,0,54317,9,1,0,1,50,1,1
55,0,185436,10,1,0,1,70,1,0
69,0,213249,11,0,0,0,25,1,1
62,0,192515,9,0,0,0,40,1,1
54,0,420691,2,1,0,1,40,0,1
39,0,80004,9,1,0,1,40,1,1
30,0,97453,9,0,0,0,54,1,1
39,1,267581,9,0,1,1,40,1,1
55,0,176317,9,0,0,0,40,1,1
25,0,28520,9,0,0,0,40,1,1
36,0,126569,9,1,0,1,45,0,0
22,0,200593,10,0,0,1,40,1,1
33,0,124187,7,0,1,1,60,1,1
22,0,269474,10,0,0,1,10,1,1
54,1,188809,16,0,0,0,50,1,0
38,-1,180220,9,1,0,1,60,1,1
31,0,454508,7,0,0,1,40,1,1
22,1,292933,13,0,0,0,10,1,1
25,0,202560,10,0,0,0,40,1,1
45,0,61751,9,1,0,0,35,1,1
20,0,39615,10,0,0,1,40,1,1
40,0,25005,13,1,0,1,99,1,0
64,-1,352712,11,1,0,1,55,1,1
51,-1,130667,9,0,1,1,6,1,1
38,0,305597,9,0,0,1,40,1,1
28,0,33798,11,1,0,1,40,1,1
61,1,176753,9,1,0,1,48,1,1
60,0,239576,14,1,0,1,10,1,1
27,0,191782,9,0,1,0,30,1,1
41,0,222504,15,0,0,0,38,1,1
38,0,380543,9,0,1,0,30,1,1
52,-1,44728,10,1,0,1,55,1,0
43,0,184321,6,1,1,1,40,1,0
38,0,247111,9,1,0,1,40,1,0
45,0,182541,10,0,0,1,48,1,1
31,-1,119411,9,0,0,1,50,1,1
43,-1,144218,8,1,0,1,60,1,1
29,0,172865,9,1,0,1,50,1,1
45,0,187033,9,1,0,1,40,1,1
28,-1,147471,9,0,0,0,10,1,1
28,0,91299,11,0,2,0,45,1,1
31,0,176831,6,0,0,0,40,1,1
43,0,83827,9,0,0,0,24,1,1
50,1,111700,14,0,0,0,50,1,1
70,-1,336007,3,1,0,1,20,1,1
22,-1,199426,10,0,0,0,40,1,1
55,-1,258648,6,0,0,1,40,1,1
45,0,168038,13,1,0,1,32,1,1
24,0,249351,9,1,0,0,40,1,1
20,0,224238,8,0,0,1,40,1,1
37,0,342768,9,1,0,1,40,1,1
62,0,214288,9,1,0,1,40,1,1
19,0,376240,9,0,0,1,42,1,1
23,0,359759,9,0,2,1,40,0,1
38,0,53930,6,0,1,1,40,0,1
62,1,76720,13,1,0,0,40,1,1
47,0,302711,7,0,0,0,40,1,1
39,1,193815,10,1,0,1,40,1,0
28,1,381789,13,0,0,1,50,1,1
30,0,29662,12,1,0,0,25,1,0
31,1,188798,13,0,0,0,50,1,1
48,1,102076,13,0,0,0,35,1,1
22,0,147655,10,0,0,0,40,1,1
42,1,460214,10,1,0,1,40,1,0
19,0,247298,8,1,4,0,20,1,1
50,-1,186565,13,1,0,1,50,1,1
47,0,131002,13,1,0,1,50,1,0
55,1,171328,10,1,1,0,35,1,1
55,-1,76901,12,1,0,1,55,1,0
53,0,99476,9,0,0,0,38,1,1
41,0,116391,10,1,0,1,40,1,1
17,0,294485,6,0,0,1,30,1,1
26,1,180957,14,0,0,1,50,1,1
39,0,184128,7,0,0,0,40,1,1
36,0,160035,9,1,0,1,55,1,1
40,0,225978,10,0,1,1,40,1,1
39,-1,86551,8,1,0,1,40,1,1
20,0,146538,9,1,0,1,40,1,1
32,0,194426,13,1,0,1,40,1,0
69,1,163689,10,1,0,1,16,1,1
41,-1,186909,14,1,0,0,35,1,0
48,0,152915,10,0,0,0,40,1,1
32,0,281437,10,1,0,1,55,1,1
36,-1,122493,9,1,0,1,47,1,1
41,1,27305,14,1,0,1,40,1,0
18,0,114008,9,0,0,1,35,1,1
63,0,50349,9,0,0,0,34,1,1
38,0,141550,6,0,0,1,40,1,1
35,0,102268,13,1,0,1,45,1,1
44,0,225263,10,0,0,0,46,1,1
24,1,61737,13,0,0,1,40,1,1
32,1,44777,9,0,1,1,46,1,1
58,1,48433,9,1,0,1,40,1,1
64,1,264544,14,1,0,0,5,1,0
34,-1,203488,9,1,0,1,60,1,1
26,0,247455,13,1,0,0,42,1,0
35,-1,60269,9,1,0,1,60,1,1
19,0,219189,8,0,0,1,25,1,1
41,0,106679,14,0,0,1,50,1,0
20,0,70076,10,0,0,0,40,1,1
20,-1,114969,9,0,0,1,40,1,1
40,0,297396,10,0,0,0,60,1,1
27,0,217530,9,1,0,1,40,0,1
51,0,335997,9,1,0,1,55,1,0
23,0,211049,10,0,0,0,40,1,1
24,0,136310,10,1,0,1,40,1,1
44,0,228057,9,0,0,0,40,0,1
38,0,233194,9,1,1,1,40,1,0
38,0,236391,13,1,0,1,40,1,0
29,1,30069,9,1,0,0,40,1,1
20,0,243878,10,0,0,1,40,1,1
23,0,32732,13,0,0,1,15,1,1
27,0,113501,14,0,0,1,45,1,1
30,0,75167,13,1,0,1,55,1,1
47,0,152073,9,0,0,0,40,1,1
54,0,104501,10,1,0,1,40,1,0
45,0,112362,6,1,0,1,40,1,1
63,0,180911,7,1,0,1,37,1,0
33,0,50276,13,0,0,1,40,1,1
43,0,220609,10,0,0,0,50,1,1
27,1,204098,9,1,0,1,50,1,1
33,0,55699,9,1,0,1,40,1,1
43,1,169203,11,0,0,0,35,1,1
42,0,196001,9,0,0,0,40,1,1
33,-1,196342,16,0,0,1,45,1,0
19,0,283945,6,0,0,1,45,1,1
19,-1,119234,10,0,0,0,15,1,1
63,-1,167501,10,1,0,0,10,1,0
18,-1,189041,9,0,0,1,40,1,1
41,1,176663,9,1,0,0,40,1,1
27,0,189775,9,0,1,0,40,1,1
49,0,133729,10,1,0,1,17,1,1
36,-1,347491,16,1,0,1,35,1,1
65,0,173674,9,0,0,0,14,1,1
49,-1,57665,13,0,0,0,40,1,1
24,1,191073,9,0,0,1,40,1,1
29,0,274010,10,0,0,1,45,1,1
48,-1,125892,10,1,0,1,38,1,0
23,-1,289116,9,0,0,0,50,1,1
52,1,187830,9,0,0,1,36,1,0
56,1,187873,14,0,0,0,40,1,1
49,1,126446,10,0,0,0,30,1,1
39,1,177907,9,1,0,1,40,1,0
39,-1,33975,9,1,0,1,50,1,1
25,0,19214,9,0,0,1,40,1,1
47,0,151087,9,0,4,0,40,0,1
36,0,592930,9,1,1,1,50,1,0
25,0,111058,12,0,0,1,40,1,1
37,1,117651,13,0,0,1,40,1,1
50,-1,23780,14,1,0,1,40,1,1
24,0,161092,13,0,0,1,40,1,1
26,0,483822,4,0,0,1,40,0,1
23,0,185452,13,0,0,0,35,0,1
54,0,139347,9,0,0,0,40,1,1
38,0,257416,5,1,1,1,40,1,1
26,1,252284,10,1,0,1,40,1,1
22,0,300871,10,1,0,1,40,1,1
43,-1,34007,13,1,0,1,70,1,0
44,0,104440,13,1,0,1,40,1,0
42,1,271521,10,1,4,1,40,1,0
28,0,100829,13,1,0,0,50,1,0
55,0,134120,6,1,0,1,40,1,0
44,0,198316,13,1,0,1,50,1,0
25,0,69739,6,0,0,1,40,1,1
50,-1,207246,10,0,0,0,75,1,1
37,0,162424,9,1,0,1,45,1,1
19,0,389755,9,0,0,1,16,1,1
21,0,182614,10,0,0,0,40,0,1
40,0,192381,10,1,0,1,50,1,0
17,0,130795,6,0,0,1,20,1,1
38,1,99527,14,1,0,1,40,1,0
43,0,37402,14,0,0,0,25,1,1
59,0,381851,5,0,1,0,40,1,1
19,0,258633,10,0,0,0,30,1,1
24,0,200089,9,1,0,1,60,0,0
54,0,220055,13,0,0,0,40,1,1
23,0,246965,12,0,0,1,12,1,1
36,0,33001,9,0,0,1,50,1,1
63,0,163809,10,0,0,0,20,1,1
29,1,119848,13,0,0,0,40,1,1
32,-1,350624,8,1,0,1,40,1,1
59,1,165695,10,1,0,1,40,1,1
34,1,595000,14,1,1,0,40,1,0
40,0,130834,10,0,0,0,40,1,1
19,-1,200790,8,1,0,0,40,1,0
38,0,304651,9,0,0,1,60,1,1
49,-1,178215,10,0,0,0,28,1,1
38,0,119741,14,1,1,1,40,1,0
30,0,488720,5,1,0,1,40,0,1
36,0,70282,10,0,1,0,40,1,1
25,0,303431,9,1,0,0,40,1,1
35,1,185053,13,0,0,0,40,1,1
39,1,55568,9,1,0,0,40,1,1
38,1,167440,9,1,0,1,20,1,1
60,0,140544,9,0,0,1,40,1,1
45,1,54190,14,1,0,1,50,1,0
20,0,380544,12,0,0,1,20,1,1
73,-1,90557,7,1,0,1,8,1,1
34,0,157747,9,1,0,1,45,1,1
50,1,46401,13,0,0,0,50,1,1
47,0,187563,9,1,0,1,40,1,1
23,0,215624,10,0,2,1,40,0,1
64,0,254797,10,1,0,1,40,1,1
31,0,203488,13,1,0,1,50,1,0
26,0,135645,13,0,0,1,40,1,1
53,0,71772,16,0,0,1,50,1,1
31,0,144949,13,1,0,1,40,1,0
64,1,201293,9,0,0,0,38,1,1
41,0,195124,14,0,0,1,35,0,1
41,0,93885,10,0,0,0,48,1,1
55,0,169611,7,0,0,0,40,1,1
39,0,401832,10,1,0,1,48,1,1
26,0,82246,13,0,0,1,38,1,1
55,-1,184702,9,1,0,1,40,1,1
32,0,222654,6,0,0,1,40,1,1
53,1,200190,14,1,0,1,55,1,0
53,1,276868,14,1,0,1,40,1,0
25,0,252752,10,0,0,0,45,1,1
39,0,198097,13,0,0,1,50,1,1
20,0,50397,10,1,1,1,35,1,1
23,0,250743,10,0,1,1,40,1,1
30,0,377017,10,1,0,1,32,1,1
59,0,142182,9,1,0,1,40,1,0
34,0,127651,6,0,0,1,44,0,1
17,0,340557,7,0,0,1,25,1,1
28,0,301654,13,0,0,0,40,1,1
37,0,185567,9,0,0,1,40,1,0
23,0,160398,10,1,0,1,40,1,1
41,0,201495,14,1,0,1,40,1,0
21,0,286853,9,0,0,1,35,1,1
17,0,121425,7,0,0,0,16,1,1
24,0,172612,9,1,0,1,40,1,1
30,0,115426,13,1,0,1,40,1,0
55,0,195329,9,0,0,0,35,0,1
34,0,98283,15,0,2,1,40,0,0
60,0,43235,13,1,0,1,50,1,0
28,0,186239,10,0,1,0,40,1,1
20,0,353195,9,0,0,1,35,1,1
40,1,165726,11,0,0,0,40,1,1
44,0,235786,10,1,0,1,45,1,0
18,0,159561,7,0,0,1,20,1,1
57,0,134195,9,1,0,1,40,1,1
62,0,97017,10,1,0,1,45,1,1
22,0,113936,9,0,0,1,40,1,1
44,1,231793,16,1,0,0,38,1,1
24,0,152176,10,0,0,1,39,1,1
47,0,368561,10,1,0,1,40,1,0
36,-1,37778,14,1,0,1,70,1,1
28,0,133043,9,0,0,0,50,1,1
20,0,181370,10,0,1,1,40,1,1
40,0,272343,9,1,0,0,40,1,0
54,0,141663,9,1,0,1,40,1,0
20,0,515797,9,1,0,1,40,1,1
25,0,262778,14,0,0,0,37,1,1
43,0,170230,14,0,0,0,40,1,1
30,0,140869,9,0,0,0,40,1,1
39,1,106297,9,0,0,1,42,1,1
24,0,395297,10,0,0,0,35,1,1
45,0,162915,10,0,0,1,50,1,1
19,0,418324,10,0,0,1,36,1,1
32,0,197457,9,0,0,0,38,1,1
34,0,203034,13,0,0,1,50,1,0
51,1,240358,9,1,0,1,40,1,0
48,0,116641,9,0,0,0,45,1,1
28,0,314177,6,0,1,1,40,1,1
30,1,423064,9,0,1,1,35,1,1
24,1,197731,9,1,0,1,49,1,0
47,-1,109832,9,0,0,1,60,1,1
47,0,464945,9,0,0,1,45,1,1
27,0,278720,9,1,0,1,45,1,0
40,0,220460,9,0,0,1,40,0,1
35,-1,157473,9,1,0,1,40,1,1
23,0,378546,10,0,0,1,40,1,1
27,0,165365,9,1,2,1,40,0,1
39,1,193583,13,0,0,0,60,1,1
44,0,125461,14,1,0,1,35,1,0
30,0,173005,10,1,0,1,50,1,0
24,0,293091,9,1,0,1,40,1,1
61,1,95450,13,1,0,1,50,1,0
24,0,284317,13,0,0,0,30,1,1
56,1,216851,13,1,0,1,40,1,0
23,0,102942,13,0,0,0,40,1,0
48,0,233511,9,1,0,1,50,1,0
30,0,103649,13,1,1,0,40,1,0
31,1,440129,10,0,0,1,40,1,0
26,0,137678,9,0,0,1,40,1,1
44,1,33658,14,1,0,1,50,1,0
48,0,34186,9,1,0,1,70,1,1
48,0,235646,10,1,0,1,40,1,0
32,0,29312,10,0,0,1,40,1,1
23,1,173851,9,0,0,1,8,1,1
58,-1,193434,9,1,0,1,20,1,1
51,0,215647,9,0,0,0,43,1,1
35,0,186815,9,1,0,1,40,1,1
46,-1,168796,13,1,0,1,55,1,1
35,0,107125,13,1,0,1,16,1,0
33,0,201988,14,1,0,1,45,1,1
64,0,182979,9,1,0,1,40,1,1
30,-1,68330,10,1,0,1,50,1,1
27,0,72208,10,0,1,1,40,1,1
30,0,97757,11,1,0,0,36,1,0
20,-1,149478,10,0,0,0,25,1,1
32,0,183916,9,0,0,0,34,1,1
25,0,38488,9,0,0,0,40,1,1
45,1,192793,10,1,0,1,40,1,0
29,0,543477,10,0,1,0,40,1,1
33,0,103596,11,1,0,1,40,1,1
45,1,238386,10,1,0,1,40,1,0
50,-1,42402,15,1,0,1,30,1,0
44,-1,311357,15,1,0,1,50,1,0
26,0,177147,13,0,0,1,65,1,1
